state,Health,Mental,Safety,Living,Education,Economic,Digital,Life,Future,TOI,pop1019_m,below,above,mid
Himachal Pradesh,77.28,35.73,92.61,92.99,76.44,36.32,77.89,70.98,64.69,67.84,1.3,61.26,38.64,61.31
Punjab,79.12,57.91,88.55,95.78,74.29,9.81,74.62,77.25,55.02,66.13,5.0,58.83,40.76,59.03
Jammu & Kashmir,79.34,60.01,92.14,90.51,65.3,2.1,64.58,78.5,46.2,62.35,2.5,55.47,44.33,55.57
Tamil Nadu,80.75,19.94,85.26,94.85,71.88,30.92,70.65,65.27,59.34,62.31,12.0,54.5,44.53,54.98
Uttarakhand,73.41,45.83,87.69,92.99,70.96,11.18,69.72,71.38,52.78,62.08,2.0,54.34,45.5,54.42
Kerala,84.67,20.57,93.55,87.41,78.23,1.61,79.06,68.38,55.41,61.89,6.0,53.85,45.66,54.09
Delhi,77.47,26.79,85.83,95.78,69.72,11.83,84.67,66.61,55.34,60.97,3.5,51.95,47.76,52.1
Maharashtra,70.03,26.16,78.87,93.92,71.74,25.26,70.65,61.91,57.58,59.74,21.0,50.11,48.2,50.95
Gujarat,65.14,32.04,79.08,94.85,62.4,36.12,66.45,62.36,55.33,58.85,12.0,49.14,49.89,49.62
Haryana,74.46,35.1,81.53,94.85,69.65,3.72,70.19,66.81,49.98,58.4,5.0,48.06,51.53,48.27
Karnataka,70.81,19.31,78.59,92.99,66.79,26.69,70.65,59.91,55.53,57.72,12.0,46.53,52.5,47.01
Rajasthan,68.63,43.31,74.43,92.37,64.79,14.43,56.88,65.15,48.1,56.62,16.0,45.24,53.47,45.88
Uttar Pradesh,62.55,54.94,80.91,90.51,58.53,13.45,48.0,68.57,42.9,55.74,47.0,41.34,54.87,43.24
Telangana,73.17,18.68,74.41,92.99,61.68,26.5,66.45,59.18,52.08,55.63,7.0,40.77,58.66,41.06
Rest of India,66.88,32.58,76.56,92.37,65.87,13.06,61.31,62.04,49.11,55.58,0.7,40.72,59.23,40.74
Chhattisgarh,66.4,13.64,81.49,88.03,59.38,40.26,43.57,57.27,50.48,53.87,5.5,37.12,62.43,37.35
Andhra Pradesh,68.83,23.01,74.08,92.99,60.14,21.88,56.88,59.08,48.01,53.54,9.0,36.4,62.88,36.76
Odisha,67.66,30.06,77.86,87.1,62.08,12.01,48.0,61.38,44.25,52.81,8.0,34.51,64.84,34.84
Madhya Pradesh,63.34,22.29,76.06,89.89,58.53,22.54,48.0,57.5,45.63,51.56,16.0,31.99,66.72,32.63
West Bengal,65.84,24.18,65.86,92.37,63.02,13.45,52.91,56.0,46.13,51.07,17.0,30.61,68.01,31.3
Jharkhand,62.32,44.23,65.03,83.38,55.37,13.45,43.57,59.81,40.43,50.12,8.0,29.76,69.6,30.08
Assam,61.79,42.05,69.19,79.35,56.39,8.59,48.0,59.84,40.37,50.11,6.5,29.23,70.24,29.5
Bihar,59.4,55.49,61.23,89.58,48.27,10.21,34.7,61.8,34.14,47.97,30.0,25.4,72.18,26.61
