stratum,Health,Mental,Safety,Living,Education,Economic,Digital,Life,Future,TOI,pop1019_m,world_pct,india_band
D1,52.66,15.45,58.29,82.88,36.86,18.68,1.74,46.21,24.38,35.29,25.3,18.41,0-10 pctile
D2,55.09,19.4,63.29,85.76,43.21,17.27,11.16,49.91,29.02,39.46,25.3,23.13,10-20 pctile
D3,59.03,23.51,67.67,88.71,49.93,15.65,24.21,53.93,34.5,44.22,25.3,30.21,20-30 pctile
D4,62.95,27.33,71.56,90.74,56.44,14.08,38.52,57.63,40.14,48.89,25.3,32.99,30-40 pctile
D5,66.63,30.81,75.01,91.83,62.65,12.68,52.95,60.92,45.72,53.32,25.3,37.96,40-50 pctile
D6,70.27,34.44,78.66,92.99,68.1,13.72,66.12,64.31,51.39,57.85,25.3,43.98,50-60 pctile
D7,73.8,38.23,82.25,94.23,72.66,14.76,76.51,67.71,56.06,61.89,25.3,49.03,60-70 pctile
D8,77.88,42.61,85.99,95.77,76.74,16.51,85.38,71.52,60.4,65.96,25.3,51.81,70-80 pctile
D9,82.14,47.66,89.46,97.63,80.14,19.65,92.15,75.54,64.39,69.97,25.3,62.74,80-90 pctile
D10,85.65,52.92,91.98,99.53,83.34,22.3,96.41,79.12,67.64,73.38,25.3,69.41,90-100 pctile
