iso3,country,indicator_id,value,value_low,value_high,year,confidence_tier,source,note
AFG,Afghanistan,adol_fert,62.0,62.0,62.0,2023,A,UN Population Division / World Bank SP.ADO.TFRT,
AFG,Afghanistan,child_labour,25.0,22.5,27.5,2023,B,ILO/UNICEF,
AFG,Afghanistan,child_marriage,28.0,28.0,28.0,2023,A,UNICEF; DHS/MICS,
AFG,Afghanistan,electricity,98.0,98.0,98.0,2023,A,World Bank / IEA,
AFG,Afghanistan,hlo,341.29,320.81,361.77,2023,C,"Altinok, Angrist & Patrinos (2018) / World Bank HLO","Imputed by OLS on log(u5mr), youth_lit, lsec_comp, internet; R2=0.87"
AFG,Afghanistan,homicide,7.0,7.0,7.0,2023,A,UNODC,
AFG,Afghanistan,internet,18.0,18.0,18.0,2023,A,ITU / World Bank,
AFG,Afghanistan,ladder,1.72,1.38,2.06,2023,C,Gallup World Poll via World Happiness Report,
AFG,Afghanistan,lsec_comp,40.0,40.0,40.0,2023,A,UNESCO UIS,
AFG,Afghanistan,mobile_bb,25.0,22.5,27.5,2023,B,ITU,
AFG,Afghanistan,neet,42.0,39.9,44.1,2023,B,ILOSTAT / national LFS (PLFS for India),
AFG,Afghanistan,neet_gap,60.0,57.0,63.0,2023,B,Derived from ILOSTAT / national LFS,
AFG,Afghanistan,stunting,38.0,35.72,40.28,2023,A,UNICEF/WHO/World Bank JME (NFHS-5 for India),
AFG,Afghanistan,suicide,4.1,4.1,4.1,2023,A,WHO Global Health Estimates; NCRB for India,
AFG,Afghanistan,u5mr,55.0,55.0,55.0,2023,A,UN IGME,
AFG,Afghanistan,water,30.0,30.0,30.0,2023,A,WHO/UNICEF JMP,
AFG,Afghanistan,y_unemp,15.0,14.25,15.75,2023,B,ILOSTAT,
AFG,Afghanistan,youth_lit,65.0,65.0,65.0,2023,A,UNESCO UIS,
DZA,Algeria,adol_fert,10.0,10.0,10.0,2023,A,UN Population Division / World Bank SP.ADO.TFRT,
DZA,Algeria,child_labour,3.0,2.7,3.3,2023,B,ILO/UNICEF,
DZA,Algeria,child_marriage,4.0,4.0,4.0,2023,A,UNICEF; DHS/MICS,
DZA,Algeria,electricity,100.0,100.0,100.0,2023,A,World Bank / IEA,
DZA,Algeria,hlo,375.14,363.89,386.39,2023,B,"Altinok, Angrist & Patrinos (2018) / World Bank HLO",
DZA,Algeria,homicide,1.5,1.5,1.5,2023,A,UNODC,
DZA,Algeria,internet,71.0,71.0,71.0,2023,A,ITU / World Bank,
DZA,Algeria,ladder,5.36,4.29,6.43,2023,C,Gallup World Poll via World Happiness Report,
DZA,Algeria,lsec_comp,70.0,70.0,70.0,2023,A,UNESCO UIS,
DZA,Algeria,mobile_bb,80.0,72.0,88.0,2023,B,ITU,
DZA,Algeria,neet,25.0,23.75,26.25,2023,B,ILOSTAT / national LFS (PLFS for India),
DZA,Algeria,neet_gap,25.0,23.75,26.25,2023,B,Derived from ILOSTAT / national LFS,
DZA,Algeria,stunting,10.0,9.4,10.6,2023,A,UNICEF/WHO/World Bank JME (NFHS-5 for India),
DZA,Algeria,suicide,2.5,2.5,2.5,2023,A,WHO Global Health Estimates; NCRB for India,
DZA,Algeria,u5mr,21.0,21.0,21.0,2023,A,UN IGME,
DZA,Algeria,water,94.0,94.0,94.0,2023,A,WHO/UNICEF JMP,
DZA,Algeria,y_unemp,30.0,28.5,31.5,2023,B,ILOSTAT,
DZA,Algeria,youth_lit,97.0,97.0,97.0,2023,A,UNESCO UIS,
AGO,Angola,adol_fert,140.0,140.0,140.0,2023,A,UN Population Division / World Bank SP.ADO.TFRT,
AGO,Angola,child_labour,23.0,20.7,25.3,2023,B,ILO/UNICEF,
AGO,Angola,child_marriage,30.0,30.0,30.0,2023,A,UNICEF; DHS/MICS,
AGO,Angola,electricity,48.0,48.0,48.0,2023,A,World Bank / IEA,
AGO,Angola,hlo,306.57,288.17,324.96,2023,C,"Altinok, Angrist & Patrinos (2018) / World Bank HLO","Imputed by OLS on log(u5mr), youth_lit, lsec_comp, internet; R2=0.87"
AGO,Angola,homicide,5.0,5.0,5.0,2023,A,UNODC,
AGO,Angola,internet,37.0,37.0,37.0,2023,A,ITU / World Bank,
AGO,Angola,ladder,4.2,3.36,5.04,2023,C,Gallup World Poll via World Happiness Report,
AGO,Angola,lsec_comp,40.0,40.0,40.0,2023,A,UNESCO UIS,
AGO,Angola,mobile_bb,45.0,40.5,49.5,2023,B,ITU,
AGO,Angola,neet,30.0,28.5,31.5,2023,B,ILOSTAT / national LFS (PLFS for India),
AGO,Angola,neet_gap,15.0,14.25,15.75,2023,B,Derived from ILOSTAT / national LFS,
AGO,Angola,stunting,38.0,35.72,40.28,2023,A,UNICEF/WHO/World Bank JME (NFHS-5 for India),
AGO,Angola,suicide,8.0,8.0,8.0,2023,A,WHO Global Health Estimates; NCRB for India,
AGO,Angola,u5mr,66.0,66.0,66.0,2023,A,UN IGME,
AGO,Angola,water,57.0,57.0,57.0,2023,A,WHO/UNICEF JMP,
AGO,Angola,y_unemp,10.0,9.5,10.5,2023,B,ILOSTAT,
AGO,Angola,youth_lit,80.0,80.0,80.0,2023,A,UNESCO UIS,
ARG,Argentina,adol_fert,32.0,32.0,32.0,2023,A,UN Population Division / World Bank SP.ADO.TFRT,
ARG,Argentina,child_labour,3.0,2.7,3.3,2023,B,ILO/UNICEF,
ARG,Argentina,child_marriage,15.0,15.0,15.0,2023,A,UNICEF; DHS/MICS,
