iso3,name,region,pop_1019_millions,pop_source,pop_tier,life,future,toi,toi_low,toi_high,health,mental,safety,living,education,economic,digital,rank,country_pct,pop_pct
DNK,Denmark,Europe,0.65,UN WPP 2024 (order-of-magnitude estimate),B,93.6,97.2,95.4,92.3,95.8,99.6,80.1,99.1,100.0,98.9,92.6,100.0,1,100.0,100.0
SGP,Singapore,Southeast Asia,0.42,UN WPP 2024 (order-of-magnitude estimate),B,92.1,98.7,95.4,92.5,96.6,99.3,74.3,100.0,100.0,100.0,96.4,99.1,2,99.2,99.9
NLD,Netherlands,Europe,2.0,UN WPP 2024 (order-of-magnitude estimate),B,93.2,97.2,95.2,91.6,95.9,99.3,78.3,99.8,100.0,98.2,94.5,98.9,3,98.4,99.8
CHE,Switzerland,Europe,0.9,UN WPP 2024 (order-of-magnitude estimate),B,92.5,97.4,95.0,91.0,95.6,99.4,75.8,100.0,100.0,99.5,95.4,95.2,4,97.6,99.7
IRL,Ireland,Europe,0.65,UN WPP 2024 (order-of-magnitude estimate),B,94.7,94.0,94.3,90.2,95.4,99.4,83.2,99.6,100.0,99.1,86.5,92.5,5,96.8,99.7
NOR,Norway,Europe,0.65,UN WPP 2024 (order-of-magnitude estimate),B,92.0,96.1,94.1,90.4,94.9,100.0,73.5,100.0,100.0,98.3,92.6,96.1,6,96.0,99.6
ISR,Israel,Middle East,1.35,UN WPP 2024 (order-of-magnitude estimate),B,96.9,89.4,93.2,89.4,94.4,97.9,94.0,97.8,100.0,94.0,81.7,89.6,7,95.2,99.5
FIN,Finland,Europe,0.6,UN WPP 2024 (order-of-magnitude estimate),B,89.9,94.4,92.2,89.4,92.8,99.7,68.7,97.9,100.0,98.4,84.8,99.1,9,93.5,98.8
GBR,United Kingdom,Europe,7.5,UN WPP 2024 (order-of-magnitude estimate),B,93.0,91.4,92.2,88.1,94.0,96.9,80.9,98.9,100.0,95.3,83.6,93.4,8,94.4,99.2
AUS,Australia,Oceania,3.0,UN WPP 2024 (order-of-magnitude estimate),B,90.9,93.3,92.1,87.9,93.2,98.0,72.3,99.3,100.0,93.2,92.0,95.2,10,92.7,98.7
DEU,Germany,Europe,8.0,UN WPP 2024 (order-of-magnitude estimate),B,89.6,94.2,91.9,87.9,93.6,98.3,67.7,99.3,100.0,96.7,94.9,86.9,11,91.9,98.2
SWE,Sweden,Europe,1.2,UN WPP 2024 (order-of-magnitude estimate),B,91.1,91.8,91.4,87.8,92.2,99.9,71.7,98.7,100.0,94.8,82.1,99.1,12,91.1,97.9
CZE,Czechia,Europe,1.0,UN WPP 2024 (order-of-magnitude estimate),B,91.0,91.6,91.3,87.3,92.9,97.7,73.0,99.4,100.0,94.9,90.0,86.0,13,90.3,97.8
AUT,Austria,Europe,0.85,UN WPP 2024 (order-of-magnitude estimate),B,90.0,92.4,91.2,87.2,92.8,98.8,68.2,99.8,100.0,95.4,89.8,88.8,14,89.5,97.7
CAN,Canada,North America,4.0,UN WPP 2024 (order-of-magnitude estimate),B,91.2,90.8,91.0,86.9,92.4,98.1,75.8,97.0,99.0,94.9,87.0,86.0,15,88.7,97.5
JPN,Japan,East Asia,10.5,UN WPP 2024 (order-of-magnitude estimate),B,83.7,97.3,90.5,87.8,92.7,97.4,48.7,100.0,99.0,100.0,98.3,88.8,17,87.1,96.9
ARE,United Arab Emirates,Middle East,0.9,UN WPP 2024 (order-of-magnitude estimate),B,95.3,85.8,90.5,86.8,92.1,96.2,89.4,98.8,100.0,83.6,80.0,100.0,16,87.9,97.3
NZL,New Zealand,Oceania,0.63,UN WPP 2024 (order-of-magnitude estimate),B,91.1,88.9,90.0,85.9,91.2,96.5,75.4,98.5,100.0,90.0,84.9,92.5,18,86.3,96.4
EST,Estonia,Europe,0.13,UN WPP 2024 (order-of-magnitude estimate),B,85.2,93.6,89.4,85.4,91.0,98.5,55.2,97.0,100.0,99.5,82.7,95.2,19,85.5,96.4
BEL,Belgium,Europe,1.3,UN WPP 2024 (order-of-magnitude estimate),B,87.7,90.7,89.2,85.1,90.5,98.7,61.7,98.5,100.0,97.0,83.2,86.0,20,84.7,96.3
POL,Poland,Europe,3.5,UN WPP 2024 (order-of-magnitude estimate),B,88.7,89.6,89.1,85.2,91.4,97.1,65.6,99.4,100.0,96.9,84.0,79.5,21,83.9,96.1
SVN,Slovenia,Europe,0.2,UN WPP 2024 (order-of-magnitude estimate),B,87.1,91.0,89.0,85.1,91.0,99.6,57.8,99.6,100.0,95.7,89.5,81.4,22,83.1,96.0
CHN,China,East Asia,160.0,UN WPP 2024 (order-of-magnitude estimate),B,88.2,89.7,88.9,85.6,92.0,95.3,69.1,97.8,95.0,99.5,72.3,91.5,23,82.3,89.5
USA,United States,North America,42.0,UN WPP 2024 (order-of-magnitude estimate),B,83.0,94.1,88.5,84.8,90.0,94.3,60.6,88.8,99.0,95.9,87.0,100.0,24,81.5,81.4
