iso3,name,region,pop_1019_millions,pop_source,pop_tier
AFG,Afghanistan,South Asia,10.0,UN WPP 2024 (order-of-magnitude estimate),B
DZA,Algeria,Africa,7.0,UN WPP 2024 (order-of-magnitude estimate),B
AGO,Angola,Africa,8.0,UN WPP 2024 (order-of-magnitude estimate),B
ARG,Argentina,Latin America,7.0,UN WPP 2024 (order-of-magnitude estimate),B
ARM,Armenia,Central Asia,0.36,UN WPP 2024 (order-of-magnitude estimate),B
AUS,Australia,Oceania,3.0,UN WPP 2024 (order-of-magnitude estimate),B
AUT,Austria,Europe,0.85,UN WPP 2024 (order-of-magnitude estimate),B
AZE,Azerbaijan,Central Asia,1.3,UN WPP 2024 (order-of-magnitude estimate),B
BGD,Bangladesh,South Asia,30.0,UN WPP 2024 (order-of-magnitude estimate),B
BLR,Belarus,Europe,0.95,UN WPP 2024 (order-of-magnitude estimate),B
BEL,Belgium,Europe,1.3,UN WPP 2024 (order-of-magnitude estimate),B
BEN,Benin,Africa,3.2,UN WPP 2024 (order-of-magnitude estimate),B
BOL,Bolivia,Latin America,2.4,UN WPP 2024 (order-of-magnitude estimate),B
BWA,Botswana,Africa,0.5,UN WPP 2024 (order-of-magnitude estimate),B
BRA,Brazil,Latin America,30.0,UN WPP 2024 (order-of-magnitude estimate),B
BGR,Bulgaria,Europe,0.65,UN WPP 2024 (order-of-magnitude estimate),B
BFA,Burkina Faso,Africa,5.5,UN WPP 2024 (order-of-magnitude estimate),B
KHM,Cambodia,Southeast Asia,3.3,UN WPP 2024 (order-of-magnitude estimate),B
CMR,Cameroon,Africa,6.5,UN WPP 2024 (order-of-magnitude estimate),B
CAN,Canada,North America,4.0,UN WPP 2024 (order-of-magnitude estimate),B
CAF,Central African Republic,Africa,1.3,UN WPP 2024 (order-of-magnitude estimate),B
TCD,Chad,Africa,4.0,UN WPP 2024 (order-of-magnitude estimate),B
CHL,Chile,Latin America,2.5,UN WPP 2024 (order-of-magnitude estimate),B
CHN,China,East Asia,160.0,UN WPP 2024 (order-of-magnitude estimate),B
